Name,Year,Genre,Style,r,g,b
Snowy Landscape with Stooping Woman,1889,sketch and study,Post-Impressionism,675,659,641
The Sower (after Millet),1889,genre painting,Post-Impressionism,689,648,624
Still Life - Vase with Fourteen Sunflowers,1889,flower painting,Post-Impressionism,1109,925,444
Still Life - Vase with Twelve Sunflowers,1889,flower painting,Post-Impressionism,886,864,573
Still Life Vase with Twelve Sunflowers,1889,flower painting,Post-Impressionism,902,694,299
"Still Life with Drawing Board, Pipe, Onions and Sealing-Wax",1889,still life,Post-Impressionism,1059,711,300
Still Life with Oranges and Lemons with Blue Gloves,1889,still life,Post-Impressionism,1007,668,400
Stone Steps in the Garden of the Asylum,1889,landscape,Post-Impressionism,993,632,507
Studies Figure The Enclosure Wall of Saint-Paul Hospital and Others,1889,sketch and study,Post-Impressionism,700,674,645
Study of Pine Trees,1889,landscape,Post-Impressionism,880,595,346
The Alpilles with Olive Trees in the Foreground,1889,landscape,Post-Impressionism,668,782,606
The Courtyard of the Hospital at Arles,1889,sketch and study,Post-Impressionism,547,546,546
The Courtyard of the Hospital in Arles,1889,cityscape,Post-Impressionism,843,544,235
The Entrance Hall of Saint-Paul Hospital,1889,interior,Post-Impressionism,829,608,223
The Garden of Saint-Paul Hospital,1889,cityscape,Post-Impressionism,766,541,290
The Garden of Saint-Paul Hospital,1889,cityscape,Post-Impressionism,703,571,332
The Garden of Saint-Paul Hospital,1889,cityscape,Post-Impressionism,692,562,85
The Garden of Saint-Paul Hospital with Figure,1889,cityscape,Post-Impressionism,829,554,194
The Garden of St. Paul's Hospital at St. Remy,1889,cityscape,Post-Impressionism,907,795,574
The Green Wheatfield behind the Asylum,1889,landscape,Post-Impressionism,567,816,596
The Grounds of the Asylum,1889,landscape,Post-Impressionism,636,550,390
The gully Peiroulets,1889,landscape,Post-Impressionism,701,696,326
The gully Peiroulets,1889,landscape,Post-Impressionism,700,860,522
The Iris,1889,landscape,Post-Impressionism,486,726,284
The Man is at Sea (after Demont-Breton),1889,genre painting,Post-Impressionism,760,461,397
The Park at Arles,1889,landscape,Post-Impressionism,545,545,548
The ravine of the Peyroulets,1889,landscape,Post-Impressionism,769,585,348
The Reaper,1889,landscape,Post-Impressionism,930,800,361
The Reaper after Millet,1889,genre painting,Post-Impressionism,487,618,627
The Shepherdess (after Millet),1889,genre painting,Post-Impressionism,742,770,651
The Spinner (after Millet),1889,genre painting,Post-Impressionism,809,793,558
The Starry Night,1889,cloudscape,Post-Impressionism,546,599,616
The Starry Night,1889,sketch and study,Post-Impressionism,523,522,521
The Stone Bench in the Garden at Saint-Paul Hospital,1889,landscape,Post-Impressionism,957,597,100
The Thresher (after Millet),1889,genre painting,Post-Impressionism,897,663,405
The Walk - Falling Leaves,1889,landscape,Post-Impressionism,800,525,140
Three Cicadas,1889,sketch and study,Post-Impressionism,676,666,663
Tree with Ivy in the Asylum Garden,1889,sketch and study,Post-Impressionism,752,627,389
Trees and Shrubs,1889,sketch and study,Post-Impressionism,804,721,697
Trees and Shrubs,1889,landscape,Post-Impressionism,955,817,685
Trees in the Asylum Garden,1889,landscape,Post-Impressionism,844,706,420
Trees in the Garden of the Asylum,1889,sketch and study,Post-Impressionism,893,651,460
Trees with Ivy,1889,sketch and study,Post-Impressionism,854,752,608
Treetop Seen against the Wall of the Asylum,1889,sketch and study,Post-Impressionism,930,749,599
Trunks of Trees with Ivy,1889,landscape,Post-Impressionism,660,673,265
Two Crabs,1889,animal painting,Post-Impressionism,631,447,266
Two Cypresses,1889,landscape,Post-Impressionism,848,717,389
Two Diggers Among Trees,1889,genre painting,Post-Impressionism,776,801,497
Two Peasants Diging (after Millet),1889,genre painting,Post-Impressionism,641,586,570
Two Pinetrees,1889,sketch and study,Post-Impressionism,620,573,569
Two Poplars on a Hill,1889,landscape,Post-Impressionism,742,600,570
Two Trees,1889,sketch and study,Post-Impressionism,701,610,515
Two White Butterflies,1889,landscape,Post-Impressionism,464,560,158
Undergrowth with Ivy,1889,landscape,Post-Impressionism,634,677,286
Van Gogh's Chair,1889,still life,Post-Impressionism,787,695,367
View of the Church of Saint-Paul-de-Mausole,1889,cityscape,Post-Impressionism,707,748,643
Vincent's Bedroom in Arles,1889,interior,Post-Impressionism,958,606,356
Vincent's Bedroom in Arles,1889,interior,Post-Impressionism,800,556,226
Ward in the Hospital at Arles,1889,genre painting,Post-Impressionism,746,591,240
Wheat Field behind Saint Paul Hospital with a Reaper,1889,landscape,Post-Impressionism,1033,650,225
Wheat Field behind Saint-Paul Hospital with a Reaper,1889,landscape,Post-Impressionism,749,651,344
Wheat Field in Rain,1889,landscape,Post-Impressionism,528,602,444
Wheat Field with Cypresses,1889,landscape,Post-Impressionism,703,826,602
Wheat Field with Cypresses at the Haude Galline near Eygalieres,1889,sketch and study,Post-Impressionism,624,625,624
Wheat Field with Cypresses at the Haude Galline near Eygalieres,1889,landscape,Post-Impressionism,786,702,417
Wheat Field with Reaper and Sun,1889,landscape,Post-Impressionism,704,690,420
Wheat field with sun and cloud,1889,sketch and study,Post-Impressionism,905,795,586
Wheatfield with cypress tree,1889,landscape,Post-Impressionism,825,729,499
Wheatfield with Mountains in the Background,1889,landscape,Post-Impressionism,597,730,797
Window of Vincent's Studio at the Asylum,1889,interior,Post-Impressionism,843,566,408
Wooden Sheds,1889,landscape,Post-Impressionism,832,518,286
Arums,1889,sketch and study,Post-Impressionism,854,714,575
Barred Windows,1889,sketch and study,Post-Impressionism,599,596,585
Field with Bare Tree,1889,sketch and study,Post-Impressionism,778,693,589
Wheat Field with Cypresses,1889,sketch and study,Post-Impressionism,829,692,553
Cypresses (Sketch on a Letter to Theo Van Gogh),1889,sketch and study,Post-Impressionism,828,751,637
Sketchbook,1889,sketch and study,Realism,879,876,864
Vase with Pink Roses,1890,flower painting,Post-Impressionism,595,889,630
A Group of Cottages,1890,landscape,Post-Impressionism,598,604,522
A House at Auvers,1890,cityscape,Post-Impressionism,905,853,789
A Sower and a Man with a Spade,1890,genre painting,Post-Impressionism,727,715,663
A Steamer with Several People,1890,sketch and study,Post-Impressionism,650,644,629
A Vase of Roses,1890,flower painting,Post-Impressionism,834,714,491
A Woman Picking Up a Stick in Front of Trees,1890,sketch and study,Post-Impressionism,701,619,530
Auvers Town Hall in 14 July 1890,1890,cityscape,Post-Impressionism,708,534,383
Blossoming Acacia Branches,1890,landscape,Post-Impressionism,855,719,247
Blossoming Chestnut Branches,1890,landscape,Post-Impressionism,489,618,635
Branches with Almond Blossom,1890,flower painting,Japonism,394,791,779
"Can, Books, Wineglass, Bread and Arum Sketch of Two Women and a Girl",1890,sketch and study,Post-Impressionism,778,767,728
Chestnut Tree in Blossom,1890,landscape,Post-Impressionism,806,720,508
Chestnut Trees in Blossom,1890,cityscape,Post-Impressionism,632,712,506
Child and Woman Pouring Coffee,1890,sketch and study,Post-Impressionism,675,657,624
Child with Orange,1890,portrait,Post-Impressionism,824,714,411
Cottages and Cypresses Reminiscence of the North,1890,landscape,Post-Impressionism,752,673,471
Cottages and Trees,1890,sketch and study,Post-Impressionism,752,678,582
Cottages Reminiscence of the North,1890,landscape,Post-Impressionism,852,620,412
Cottages with a Woman Working in the Foreground,1890,sketch and study,Post-Impressionism,829,757,597
Cottages with a Woman Working in the Foreground,1890,sketch and study,Post-Impressionism,650,510,344
Cottages with Thatched Roofs and Figures,1890,sketch and study,Post-Impressionism,778,664,559
Cottages with Three Figures,1890,sketch and study,Post-Impressionism,650,611,595
Country Road,1890,landscape,Post-Impressionism,752,646,482
"Couple Arm in Arm and Other Figures, with a Windmill in the Background",1890,sketch and study,Post-Impressionism,726,726,726
Couple Walking Arm in Arm with a Child in the Rain,1890,sketch and study,Post-Impressionism,600,586,590
Couple Walking between Rows of Trees,1890,sketch and study,Post-Impressionism,854,714,559
Cows,1890,animal painting,Post-Impressionism,844,614,323
Cypresses and Two Women,1890,landscape,Post-Impressionism,626,468,259
Cypresses with Four People Working in the Field,1890,sketch and study,Post-Impressionism,600,562,526
Daubigny's Garden,1890,landscape,Post-Impressionism,679,812,614
Daubigny's Garden,1890,landscape,Post-Impressionism,617,552,169
Daubigny's Garden,1890,landscape,Post-Impressionism,676,766,606
Daubigny's Garden with Black Cat,1890,sketch and study,Post-Impressionism,829,748,596
Dead Leaf and Pod,1890,still life,Post-Impressionism,676,654,610
Diggers and Road with Cottages,1890,sketch and study,Post-Impressionism,675,663,646
Doctor Gachet Sitting at a Table with Books and a Glass with Sprigs of Foxglove,1890,sketch and study,Post-Impressionism,854,739,634
Dr. Paul Gachet,1890,portrait,Post-Impressionism,949,648,374
Ears of Wheat,1890,landscape,Post-Impressionism,580,535,210
Farmhouse with Two Figures,1890,landscape,Post-Impressionism,686,738,521
Field with a Sower,1890,sketch and study,Post-Impressionism,625,580,586
Field with Poppies,1890,landscape,Post-Impressionism,705,392,175
Field with Stacks of Wheat,1890,landscape,Post-Impressionism,631,718,588
Field with Two Sowers and Trees,1890,sketch and study,Post-Impressionism,600,588,534
First Steps (after Millet),1890,genre painting,Post-Impressionism,829,652,259
Four Men on a Road with Pine Trees,1890,sketch and study,Post-Impressionism,829,787,715
Garden in Auvers,1890,landscape,Post-Impressionism,776,680,358
"Girl with Straw Hat, Sitting in the Wheat",1890,sketch and study,Post-Impressionism,671,560,466
Green Wheat Fields,1890,landscape,Post-Impressionism,702,827,589
Haystack under a Rainy Sky,1890,landscape,Post-Impressionism,620,610,374
Head of a Boy with Broad-Brimmed Hat,1890,sketch and study,Post-Impressionism,727,648,595
"Head of a Man with a Hat, a Perspective Frame, and Other Sketches",1890,sketch and study,Post-Impressionism,752,751,750
Hind Legs of a Horse,1890,sketch and study,Post-Impressionism,829,796,755
Horse and Carriage,1890,sketch and study,Post-Impressionism,727,716,664
Houses among Trees,1890,sketch and study,Post-Impressionism,600,587,525
Houses among Trees with a Figure,1890,sketch and study,Post-Impressionism,650,645,570
Houses in Auvers,1890,landscape,Post-Impressionism,650,664,167
Houses in Auvers 2,1890,landscape,Post-Impressionism,756,534,110
"Houses with Thatched Roofs, Cordeville",1890,landscape,Post-Impressionism,617,500,618
Interior of a Farm with Figures at the Fireside,1890,sketch and study,Post-Impressionism,547,541,497
Interior of a Farm with Two Figures,1890,sketch and study,Post-Impressionism,778,714,654
Japanese Vase with Roses and Anemones,1890,flower painting,Post-Impressionism,1185,771,251
Lady with Checked Dress and Hat,1890,sketch and study,Post-Impressionism,625,581,541
Landscape in the Rain,1890,landscape,Post-Impressionism,641,586,697
Landscape with Bridge across the Oise,1890,landscape,Post-Impressionism,552,501,340
Landscape with Carriage and Train,1890,landscape,Post-Impressionism,935,691,444
Landscape with Cottages,1890,sketch and study,Post-Impressionism,574,574,574
Landscape with Couple Walking and Crescent Moon,1890,genre painting,Post-Impressionism,913,611,219
Landscape with Houses among Trees and a Figure,1890,sketch and study,Post-Impressionism,521,486,382
Landscape with the Chateau of Auvers at Sunset,1890,landscape,Post-Impressionism,863,778,442
Landscape with the Oise,1890,sketch and study,Post-Impressionism,900,902,872
Landscape with the Oise,1890,sketch and study,Post-Impressionism,650,496,436
Landscape with Three Trees and a House,1890,landscape,Post-Impressionism,610,516,211
"L'Arlesienne, Portrait of Madame Ginoux",1890,portrait,Post-Impressionism,804,847,624
"L'Arlesienne, Portrait of Madame Ginoux",1890,portrait,Post-Impressionism,593,672,572
Little Stream Surrounded by Bushes,1890,sketch and study,Post-Impressionism,879,808,733
Mademoiselle Gachet at the Piano,1890,sketch and study,Post-Impressionism,533,544,469
Mademoiselle Gachet in her garden at Auvers-sur-Oise,1890,genre painting,Post-Impressionism,718,651,544
Man with Scythe in Wheat Field,1890,sketch and study,Post-Impressionism,700,665,613
Mantelpiece with Chair,1890,sketch and study,Post-Impressionism,621,618,625
Marguerite Gachet at the Piano,1890,sketch and study,Post-Impressionism,804,729,663
Marguerite Gachet at the Piano,1890,genre painting,Post-Impressionism,599,589,281
Meadow in the Garden of Saint-Paul Hospital,1890,landscape,Post-Impressionism,790,702,256
Men in Front of the Counter in a Cafe,1890,sketch and study,Post-Impressionism,779,743,682
"Morning, Going to Work",1890,genre painting,Post-Impressionism,912,818,580
Old Man in Sorrow (On the Threshold of Eternity),1890,portrait,Post-Impressionism,840,573,448
Old Vineyard with Peasant Woman,1890,genre painting,Post-Impressionism,697,827,698
Peasant Digging,1890,sketch and study,Post-Impressionism,765,769,742
Peasant Woman Digging,1890,sketch and study,Post-Impressionism,701,561,480
Peasants Lifting Potatoes,1890,genre painting,Post-Impressionism,695,559,444
People Walking in Front of Snow-Covered Cottage,1890,sketch and study,Post-Impressionism,674,671,611
People Walking in Front of Snow-Covered Cottage,1890,sketch and study,Post-Impressionism,904,879,819
Plain near Auvers,1890,landscape,Post-Impressionism,811,871,730
Poppies and Butterflies,1890,landscape,Post-Impressionism,854,543,180
Portrait of Adeline Ravoux,1890,portrait,Post-Impressionism,692,489,352
Portrait of Adeline Ravoux,1890,portrait,Post-Impressionism,657,766,726
Portrait of Adeline Ravoux,1890,portrait,Post-Impressionism,616,605,298
Portrait of Doctor Gachet,1890,portrait,Post-Impressionism,461,410,542
Portrait of Doctor Gachet (A man with pipe),1890,sketch and study,Post-Impressionism,904,788,591
Portrait of Madame Ginoux (L'Arlesienne),1890,portrait,Post-Impressionism,881,838,569
Prisoners Exercising (Prisoners Round),1890,genre painting,Post-Impressionism,744,750,407
Red Poppies and Daisies,1890,flower painting,Post-Impressionism,894,637,373
"Noon, rest from work (after Millet)",1890,genre painting,Post-Impressionism,686,534,286
Road with Cypresses,1890,landscape,Post-Impressionism,614,607,461
"Road with Men Walking, Carriage, Cypress, Star, and Crescent Moon",1890,sketch and study,Post-Impressionism,779,651,516
Roses and Beetle,1890,flower painting,Post-Impressionism,736,663,280
Rowing Boats on the Banks of the Oise,1890,genre painting,Post-Impressionism,534,581,491
Seated Nude after Bargues,1890,sketch and study,Realism,931,873,879
Several Figures on a Road with Trees,1890,sketch and study,Post-Impressionism,752,617,531
Sheaves of Wheat,1890,sketch and study,Post-Impressionism,879,860,718
Sheaves of Wheat,1890,landscape,Post-Impressionism,956,714,291
Sheet with a Few Sketches of Figures,1890,sketch and study,Post-Impressionism,701,691,632
Sheet with Figures and Hands,1890,sketch and study,Post-Impressionism,701,611,536
"Sheet with Figures at a Table, a Sower, Clogs, etc",1890,sketch and study,Post-Impressionism,675,595,518
Sheet with Hands and Several Figures,1890,sketch and study,Post-Impressionism,700,645,575
Sheet with Many Sketches of Figures,1890,sketch and study,Post-Impressionism,650,641,567
Sheet with Numerous Figure Sketches,1890,sketch and study,Post-Impressionism,701,636,552
Sheet with Numerous Sketches of Working People,1890,sketch and study,Post-Impressionism,638,636,650
Sheet with Peasants Eating and Other Figures,1890,sketch and study,Post-Impressionism,650,628,627
Sheet with People Sitting on Chairs,1890,sketch and study,Post-Impressionism,803,785,797
Sheet with Sketches of a Digger and Other Figures,1890,sketch and study,Post-Impressionism,804,754,717
Sheet with Sketches of Diggers and Other Figures,1890,sketch and study,Post-Impressionism,854,799,581
Sheet with Sketches of Diggers and Other Figures,1890,sketch and study,Post-Impressionism,625,607,620
Sheet with Sketches of Figures,1890,sketch and study,Post-Impressionism,725,723,682
Sheet with Sketches of Peasants,1890,sketch and study,Post-Impressionism,804,786,796
Sheet with Sketches of Working People,1890,sketch and study,Post-Impressionism,854,801,704
Sheet with Sketches of Working People,1890,sketch and study,Post-Impressionism,854,843,837
Sheet with Two Groups of Peasants at a Meal,1890,sketch and study,Post-Impressionism,622,625,609
Sheet with Two Sowers and Hands,1890,sketch and study,Post-Impressionism,650,568,507
"Six Sketches of Figures, Among Others a Man Sowing Wheat",1890,sketch and study,Post-Impressionism,804,692,616
Sketch of a Couple Walking with a Child,1890,sketch and study,Post-Impressionism,852,846,800
Sketch of a Donkey,1890,sketch and study,Post-Impressionism,600,588,532
Sketch of a Hen,1890,sketch and study,Realism,778,767,708
"Sketch of a Lady with Striped Dress and Hat and of Another Lady, Half-Figure",1890,sketch and study,Post-Impressionism,855,809,577
Sketch of a Peasant Working,1890,sketch and study,Post-Impressionism,726,638,596
Sketch of a Stooping Man,1890,sketch and study,Post-Impressionism,726,691,609
Sketch of a Tree against Clouds with Colour Annotations,1890,sketch and study,Post-Impressionism,701,696,685
Sketch of a Woman with a Baby in her Lap,1890,sketch and study,Post-Impressionism,700,699,657
Sketch of an Eroded Garden-Wall Ornament,1890,sketch and study,Post-Impressionism,583,720,721
Sketch of an Eroded Garden-Wall Ornament,1890,sketch and study,Post-Impressionism,625,592,563
Sketch of Clouds with Colour Annotations,1890,sketch and study,Post-Impressionism,625,620,609
Sketch of Cows and Children,1890,sketch and study,Post-Impressionism,753,741,683
Sketch of Diggers and Other Figures,1890,sketch and study,Post-Impressionism,675,658,590
"Sketch of the Painting ""The Potato Eaters""",1890,sketch and study,Post-Impressionism,879,779,612
Sketch of Two Women,1890,sketch and study,Post-Impressionism,752,707,606
Sketch of Women in a Field,1890,sketch and study,Post-Impressionism,752,720,679
Sketches of a Cottage and Figures,1890,sketch and study,Post-Impressionism,675,657,670
Sketches of a Cottage and Figures,1890,sketch and study,Post-Impressionism,752,668,578
Sketches of a Hen and a Cock,1890,sketch and study,Realism,727,690,672
Sketches of Peasant Plowing with Horses,1890,sketch and study,Post-Impressionism,700,687,631
"Snow-Covered Cottages, a Couple with a Child, and Other Walkers",1890,sketch and study,Post-Impressionism,981,897,687
Sowers,1890,sketch and study,Post-Impressionism,625,612,551
Still Life - Pink Roses,1890,flower painting,Post-Impressionism,511,623,326
Still Life Glass with Carnations,1890,flower painting,Post-Impressionism,604,577,379
Still Life Glass with Wild Flowers,1890,flower painting,Post-Impressionism,666,692,657
Still Life Vase with Rose-Mallows,1890,flower painting,Post-Impressionism,930,481,303
Still Life Vase with Roses,1890,flower painting,Post-Impressionism,906,729,567
Still Life with Irises,1890,flower painting,Post-Impressionism,775,725,379
Still Life with Thistles,1890,flower painting,Post-Impressionism,915,761,509
Street in Auvers-sur-Oise,1890,cityscape,Post-Impressionism,492,514,550
Study of a Fruit Tree,1890,sketch and study,Post-Impressionism,574,563,530
"Study of a Woman Standing, Two Heads, Another Figure",1890,sketch and study,Post-Impressionism,727,677,633
Sun Disk above a Path between Shrubs,1890,sketch and study,Post-Impressionism,676,616,532
"Thatched Cottages in Chaponval, Auvers-sur-Oise",1890,landscape,Post-Impressionism,802,806,538
Thatched Cottages in Jorgus,1890,landscape,Post-Impressionism,808,767,532
Thatched Cottages in the Sunshine Reminiscence of the North,1890,landscape,Post-Impressionism,1058,712,418
Thatched Houses against a Hill,1890,landscape,Post-Impressionism,855,676,313
Thatched Sandstone Cottages in Chaponval,1890,landscape,Post-Impressionism,703,721,490
The Church at Auvers,1890,cityscape,Post-Impressionism,773,616,421
The Drinkers (after Daumier),1890,genre painting,Post-Impressionism,817,731,621
The Fields,1890,landscape,Post-Impressionism,840,722,367
The Garden of Doctor Gachet at Auvers-sur-Oise,1890,landscape,Post-Impressionism,680,570,514
"The Good Samaritan, after Delacroix",1890,religious painting,Post-Impressionism,845,544,208
The Grove,1890,landscape,Post-Impressionism,539,658,178
The House of Pere Eloi,1890,landscape,Post-Impressionism,986,781,569
The House of Pere Pilon,1890,landscape,Post-Impressionism,928,714,532
The Little Arlesienne,1890,portrait,Post-Impressionism,1083,837,395
The Little Stream,1890,landscape,Post-Impressionism,616,599,470
The Plain at Auvers,1890,landscape,Post-Impressionism,720,755,590
The Plough and the Harrow (after Millet),1890,landscape,Post-Impressionism,728,763,540
The Raising of Lazarus,1890,sketch and study,Post-Impressionism,930,763,581
The Raising of Lazarus after Rembrandt,1890,religious painting,Post-Impressionism,942,866,416
The Town Hall at Auvers,1890,sketch and study,Post-Impressionism,819,790,682
The Woodcutter after Millet,1890,genre painting,Post-Impressionism,641,432,205
Three Peasants at a Meal,1890,sketch and study,Post-Impressionism,798,800,763
Three Peasants with Spades on a Road in the Rain,1890,sketch and study,Post-Impressionism,864,854,879
Three Studies,1890,sketch and study,Post-Impressionism,647,632,578
Tree roots,1890,landscape,Post-Impressionism,705,650,479
Tree Trunks in the Grass,1890,landscape,Post-Impressionism,825,880,572
Two Children,1890,portrait,Cloisonnism,1084,699,368
Two Little Girls,1890,portrait,Cloisonnism,773,634,286
Two Men on a Road with Pine Trees,1890,sketch and study,Post-Impressionism,701,623,541
Two Men Walking in a Landscape with Trees,1890,sketch and study,Post-Impressionism,569,514,422
Two Peasant Women Digging in Field with Snow,1890,genre painting,Post-Impressionism,889,799,342
Two Women Crossing the Fields,1890,genre painting,Cloisonnism,806,802,428
Two Women Working in the Field,1890,sketch and study,Post-Impressionism,675,591,531
Two Women Working in Wheat Field,1890,sketch and study,Post-Impressionism,726,693,655
Undergrowth with Two Figures,1890,genre painting,Post-Impressionism,889,829,499
Vase with Irises,1890,flower painting,Post-Impressionism,643,790,826
View of Auvers,1890,landscape,Post-Impressionism,854,589,256
View of Auvers with Church,1890,cityscape,Post-Impressionism,936,714,543
View of Vessenots near Auvers,1890,landscape,Post-Impressionism,818,656,326
Village Street,1890,sketch and study,Post-Impressionism,804,725,650
Village Street and Steps in Auvers with Figures,1890,cityscape,Post-Impressionism,835,727,328
Village Street and Steps in Auvers with Two Figures,1890,cityscape,Post-Impressionism,982,576,262
"Village Street, Sketch",1890,sketch and study,Post-Impressionism,879,847,780
Vineyards with a View of Auvers,1890,landscape,Post-Impressionism,669,638,334
Wheat Field at Auvers with White House,1890,landscape,Post-Impressionism,731,723,323
Wheat Field with a Stack of Wheat or Hay,1890,sketch and study,Post-Impressionism,904,832,679
Wheat Field with Cornflowers,1890,landscape,Post-Impressionism,698,569,288
Wheat Fields,1890,sketch and study,Post-Impressionism,829,791,635
Wheat Fields,1890,sketch and study,Post-Impressionism,777,742,591
Wheat Fields at Auvers Under Clouded Sky,1890,landscape,Post-Impressionism,530,870,639
Wheat Fields with Auvers in the Background,1890,landscape,Post-Impressionism,753,473,231
Wheatfield with Crows,1890,landscape,Post-Impressionism,530,582,631
Wheatfields,1890,landscape,Post-Impressionism,760,698,496
Wheatfields under Thunderclouds,1890,landscape,Post-Impressionism,339,543,627
White House at Night,1890,cityscape,Post-Impressionism,599,632,566
Wild Flowers and Thistles in a Vase,1890,flower painting,Post-Impressionism,900,629,365
Wild Roses,1890,flower painting,Post-Impressionism,614,621,318
Woman Standing,1890,sketch and study,Post-Impressionism,675,604,524
Woman with a Donkey,1890,sketch and study,Post-Impressionism,752,642,536
Woman with Striped Skirt,1890,sketch and study,Post-Impressionism,778,766,707
Woman Working in Wheat Field,1890,sketch and study,Post-Impressionism,778,723,665
Women Working in Wheat Field,1890,sketch and study,Post-Impressionism,727,669,518
Young Girl Standing Against a Background of Wheat,1890,portrait,Post-Impressionism,956,507,157
Young Man with Cornflower,1890,portrait,Post-Impressionism,1008,718,360
Young Peasant Girl in a Straw Hat sitting in front of a wheatfield,1890,portrait,Post-Impressionism,928,812,457
Blossoming Branches,1890,sketch and study,Post-Impressionism,956,846,699
Branch with Leaves,1890,sketch and study,Post-Impressionism,777,683,602
Carriage and Two Figures on a Road,1890,sketch and study,Post-Impressionism,624,617,575
Carriage Drawn by a Horse,1890,sketch and study,Post-Impressionism,618,615,533
Chair and Sketch of a Hand,1890,sketch and study,Post-Impressionism,701,684,673
Chair near the Stove,1890,sketch and study,Post-Impressionism,687,668,650
A Group of Figures on the Beach,1890,sketch and study,Post-Impressionism,804,755,692
Carriage,1890,sketch and study,Post-Impressionism,600,588,529
Couple Walking,1890,sketch and study,Post-Impressionism,675,664,605
Field of Grass with Dandelions and Tree Trunks,1890,sketch and study,Post-Impressionism,904,775,642
Skull of a Skeleton with Burning Cigarette,1890,sketch and study,Post-Impressionism,650,599,426
